round,subtomogram_id,file_name,runtime_s,ugw_dist
1,0,0.mrc,383.25960945100087,30500.221573840827
1,1,1.mrc,383.66684703699866,30680.57921094261
1,2,2.mrc,458.60340925900164,30631.199562903494
1,3,3.mrc,381.7462473129999,31002.550238709897
1,4,4.mrc,381.0506564719981,30927.794137705117
