round,subtomogram_id,file_name,runtime_s,ugw_dist
4,0,0.mrc,0.4228253869987384,0.0
4,1,1.mrc,0.39638679700146895,0.0
4,2,2.mrc,0.410684238999238,0.0
4,3,3.mrc,0.4085031840004376,0.0
4,4,4.mrc,0.4687720299989451,0.0
4,5,5.mrc,0.4380628910002997,0.0
4,6,6.mrc,0.44500568399962503,0.0
4,7,7.mrc,0.44454803299959167,0.0
4,8,8.mrc,0.44324460600182647,0.0
4,9,9.mrc,0.450865924001846,0.0
4,10,10.mrc,0.43056513799820095,0.0
4,11,11.mrc,0.4388410389983619,0.0
4,12,12.mrc,0.46315583800242166,0.0
4,13,13.mrc,0.4209780849996605,0.0
4,14,14.mrc,0.39245276400106377,0.0
4,15,15.mrc,0.4017407430001185,0.0
4,16,16.mrc,0.4464447549980832,0.0
4,17,17.mrc,0.4035280510033772,0.0
4,18,18.mrc,0.3962964460006333,0.0
4,19,19.mrc,0.40297386800011736,0.0
4,20,20.mrc,0.3967784140004369,0.0
4,21,21.mrc,0.4023120479978388,0.0
4,22,22.mrc,0.42023800200331607,0.0
4,23,23.mrc,0.4329307609987154,0.0
4,24,24.mrc,0.4380245530010143,0.0
4,25,25.mrc,0.4343546909985889,0.0
4,26,26.mrc,0.43171023199829506,0.0
4,27,27.mrc,0.43150252499981434,0.0
4,28,28.mrc,0.4345384019979974,0.0
4,29,29.mrc,0.43388251600117655,0.0
4,30,30.mrc,0.4300900170019304,0.0
4,31,31.mrc,0.44641184600186534,0.0
4,32,32.mrc,0.4352189780001936,0.0
4,33,33.mrc,0.40722089699920616,0.0
4,34,34.mrc,0.3923919369990472,0.0
4,35,35.mrc,0.3904710509996221,0.0
4,36,36.mrc,0.43617574000018067,0.0
4,37,37.mrc,0.408155650999106,0.0
4,38,38.mrc,0.40300446699984604,0.0
4,39,39.mrc,0.3956203679990722,0.0
