shell_freq,resolution_A,fsc,n_voxels
0.005555555555555556,720.0,0.9622011359671372,6
0.016666666666666666,240.0,0.9805671005703268,26
0.02777777777777778,144.0,0.9406557731058998,90
0.03888888888888889,102.85714285714286,0.896750831384312,134
0.05,80.0,0.8509962414261029,258
0.061111111111111116,65.45454545454545,0.7805503036706938,410
0.07222222222222222,55.38461538461539,0.682009896421097,578
0.08333333333333333,48.0,0.598796061697083,702
0.09444444444444444,42.35294117647059,0.41844408006054196,914
0.10555555555555556,37.89473684210526,0.20352080791885757,1266
0.11666666666666667,34.285714285714285,0.22530045032792317,1358
0.1277777777777778,31.304347826086953,0.12149774593125265,1754
0.1388888888888889,28.799999999999997,0.16021076868719594,1962
0.15000000000000002,26.666666666666664,0.13919136834819548,2378
0.16111111111111112,24.82758620689655,-0.020203114920127743,2934
0.17222222222222225,23.2258064516129,-0.15483990187411628,3002
0.18333333333333335,21.818181818181817,-0.21264126286221918,3474
0.19444444444444445,20.57142857142857,-0.06918769754620865,4094
0.20555555555555557,19.459459459459456,-0.04536682323690503,4370
0.21666666666666667,18.46153846153846,-0.05507445222663481,4794
0.2277777777777778,17.560975609756095,-0.05283087043787698,5594
0.2388888888888889,16.744186046511626,0.0036923144791954927,6198
0.25,16.0,-0.006336445535915757,6218
0.2611111111111111,15.319148936170212,-0.009366351624075384,7298
0.2722222222222222,14.69387755102041,0.008328679989876416,7878
0.2833333333333333,14.117647058823529,0.016780807251691943,8546
0.29444444444444445,13.584905660377357,0.027354575099102673,8922
0.3055555555555555,13.090909090909092,-0.004308267943559567,9890
0.31666666666666665,12.631578947368421,0.009750712268275534,10710
0.3277777777777778,12.203389830508474,-0.010680048010211222,11162
0.3388888888888889,11.803278688524589,-0.008743854328319782,12122
0.35,11.428571428571429,0.006302692826969268,12966
0.3611111111111111,11.076923076923077,-0.010856694733093948,13682
0.37222222222222223,10.746268656716417,-0.015543514576045147,14658
0.3833333333333333,10.434782608695652,-0.0018516105805798557,15290
0.39444444444444443,10.140845070422536,-0.003042246172927971,16142
0.40555555555555556,9.863013698630137,0.00044718935071306657,17442
0.4166666666666667,9.6,-0.007366271004749353,18554
0.42777777777777776,9.350649350649352,0.003496932372255562,19158
0.4388888888888889,9.113924050632912,0.013634021389188565,20162
0.45,8.88888888888889,-0.017483251951651183,21666
0.4611111111111111,8.674698795180724,0.002134700609424805,21890
0.4722222222222222,8.470588235294118,0.02136727243847359,24206
0.48333333333333334,8.275862068965518,-0.002952939750307355,24426
0.49444444444444446,8.089887640449438,0.013466648809689978,25946
