round,n_subtomograms,mean_runtime_s,mean_final_cost,reference_l2_change,reference_mean_abs_change,reference_max_abs_change,reference_path,round_runtime_s
1,200,1.3866899131350146,949.6121453031741,78.6548843383789,0.07190137356519699,0.5171565413475037,iterative_alignment_outputs_cluster0/reference_round_01.mrc,278.9838711839993
2,200,1.3731366156649891,948.9204581126098,80.68704223632812,0.0738423615694046,0.47285860776901245,iterative_alignment_outputs_cluster0/reference_round_02.mrc,276.3854538280002
3,200,1.3743356392699844,912.8536026879411,81.87317657470703,0.07490571588277817,0.519463300704956,iterative_alignment_outputs_cluster0/reference_round_03.mrc,276.4711954940003
4,200,1.3609297391800466,948.3053000008629,80.72892761230469,0.07385221123695374,0.45078104734420776,iterative_alignment_outputs_cluster0/reference_round_04.mrc,273.77550573400003
5,200,1.3850937947599686,942.6037172638788,80.61518859863281,0.07375982403755188,0.5078699588775635,iterative_alignment_outputs_cluster0/reference_round_05.mrc,278.6314592360004
