round,subtomogram_id,file_name,runtime_s,ugw_dist
1,0,0.mrc,7.922389933999511,7498.796184997627
1,1,1.mrc,7.630491298001289,6670.41860676551
1,2,2.mrc,8.431958542001667,5822.78765325468
1,3,3.mrc,8.656188457000098,6086.183109975129
1,4,4.mrc,8.19946588699895,6262.56855147559
1,5,5.mrc,6.964107128998876,7415.548477421573
1,6,6.mrc,8.028875760999654,6106.540125671323
1,7,7.mrc,8.657993125001667,6354.2912315033755
1,8,8.mrc,8.064442205999512,6996.48805584127
1,9,9.mrc,7.770546732001094,7185.557928124705
1,10,10.mrc,9.223111691000668,6127.867727007077
1,11,11.mrc,8.211143398999411,6373.4317070910765
1,12,12.mrc,8.802323771000374,5826.172376434159
1,13,13.mrc,8.564781948000018,5623.943963836748
1,14,14.mrc,8.399318204003066,6311.387771592184
1,15,15.mrc,8.918293298997014,6902.523618609834
1,16,16.mrc,8.844530254002166,6622.971462143469
1,17,17.mrc,8.585414113000297,6329.530818211802
1,18,18.mrc,9.065694834000169,7546.349591152
1,19,19.mrc,9.64448102499955,6499.198506373839
1,20,20.mrc,9.435793201999331,6421.025040250795
1,21,21.mrc,8.678747196001495,7486.698485254659
1,22,22.mrc,8.677173380998283,6532.22100988547
1,23,23.mrc,8.711111232001713,8081.279437858437
1,24,24.mrc,8.999013520999142,7203.079810364405
1,25,25.mrc,8.89171078399886,6338.302658608562
1,26,26.mrc,7.851945954000257,7620.517771371407
1,27,27.mrc,8.546464323997498,6411.521923153123
1,28,28.mrc,7.932026737998967,6215.252902667227
1,29,29.mrc,7.990756956998666,6454.34825108973
1,30,30.mrc,7.838800174002245,7793.936202340978
1,31,31.mrc,8.065808348001156,5306.212556351224
1,32,32.mrc,7.216300116000639,6759.944275563728
1,33,33.mrc,8.029761678000796,5665.974853335036
1,34,34.mrc,7.880078384001536,6422.108326148213
1,35,35.mrc,7.8685546569977305,6070.745399159481
1,36,36.mrc,7.453533218998928,6221.3053872043965
1,37,37.mrc,7.764750857000763,7058.0933628780185
1,38,38.mrc,7.871015764998447,6181.967905944548
1,39,39.mrc,8.339791669000988,6857.005833690826
