round,subtomogram_id,file_name,runtime_s,ugw_dist
5,0,0.mrc,13.94312850499773,26462.17254210543
5,1,1.mrc,14.812130068999977,24569.84900082508
5,2,2.mrc,14.435267005999776,25264.219960227143
5,3,3.mrc,14.050671670996962,24820.875291137025
5,4,4.mrc,14.42046850999759,25166.826884033624
5,5,5.mrc,13.87013068899978,26772.718051289674
5,6,6.mrc,14.105137028000172,25115.418128489517
5,7,7.mrc,14.085523188998195,24193.50562962005
5,8,8.mrc,13.414117467000324,25576.63045354467
5,9,9.mrc,13.724726708998787,26293.35147058312
5,10,10.mrc,13.793911764001678,23851.992522364482
5,11,11.mrc,14.674557014001039,23970.041307860054
5,12,12.mrc,13.85013883099964,25282.235367890447
5,13,13.mrc,14.006081739000365,24625.864644100424
5,14,14.mrc,14.216801016998943,25460.19462484354
5,15,15.mrc,13.795658128001378,25729.85535009019
5,16,16.mrc,13.887658119001571,24652.07773023611
5,17,17.mrc,14.507946763998916,23974.059083146043
5,18,18.mrc,14.207594619001611,24899.42960239621
5,19,19.mrc,13.313013282000611,26573.54634007858
5,20,20.mrc,14.626936905999173,24246.67634370504
5,21,21.mrc,13.952159550997749,25675.36300422065
5,22,22.mrc,14.6310142250004,25337.228619629983
5,23,23.mrc,13.985089218000212,25274.807372908108
5,24,24.mrc,15.056336048000958,24931.688483191654
5,25,25.mrc,14.84477989700099,23944.8038764582
5,26,26.mrc,14.75556750299802,24320.115986353252
5,27,27.mrc,15.203085495999403,23766.077387973666
5,28,28.mrc,15.378988076001406,24955.776087567676
5,29,29.mrc,15.22870104499816,24443.520169654395
5,30,30.mrc,14.410992054999952,26350.300403574016
5,31,31.mrc,15.352033614999527,24444.824399626348
5,32,32.mrc,14.839502619000996,24871.67457982665
5,33,33.mrc,14.171911836001527,24858.476246834733
5,34,34.mrc,15.184146425002837,25255.564995217137
5,35,35.mrc,14.99470480599848,25848.94921258092
5,36,36.mrc,15.793582670001342,23526.831255326048
5,37,37.mrc,14.133204234000004,26869.961221076082
5,38,38.mrc,13.868814336001378,26112.450924875215
5,39,39.mrc,13.916542570001184,24836.13261883892
