round,reference_l2_change,reference_mean_abs_change,reference_max_abs_change,n_subtomograms,mean_runtime_s,mean_ugw_dist,reference_path,round_runtime_s
1,195.79444885253906,0.1714138239622116,1.9563074111938477,40,8.315717244125063,6591.602471515081,/home/anshu/subtmgr-align/EMPOT/outputs/iterative_runs/run_20260623_131854_N40_first/reference_round_01.mrc,333.1961368660013
2,157.90402221679688,0.13690809905529022,1.3258928060531616,40,13.829044633100148,21404.562547349873,/home/anshu/subtmgr-align/EMPOT/outputs/iterative_runs/run_20260623_131854_N40_first/reference_round_02.mrc,553.7063079169966
3,157.68263244628906,0.13810759782791138,1.0376096963882446,40,14.472217943975375,24812.43003181339,/home/anshu/subtmgr-align/EMPOT/outputs/iterative_runs/run_20260623_131854_N40_first/reference_round_03.mrc,579.4156998920007
4,158.47857666015625,0.1394278109073639,1.0990837812423706,40,15.13962626374996,26254.45910527692,/home/anshu/subtmgr-align/EMPOT/outputs/iterative_runs/run_20260623_131854_N40_first/reference_round_04.mrc,606.1160664910021
5,159.2644805908203,0.1400662213563919,1.101109504699707,40,14.38606888127497,25078.1521793575,/home/anshu/subtmgr-align/EMPOT/outputs/iterative_runs/run_20260623_131854_N40_first/reference_round_05.mrc,575.9782742410025
