shell_freq,resolution_A,fsc,n_voxels
0.005555555555555556,720.0,0.9864073869027589,6
0.016666666666666666,240.0,0.9771135526764355,26
0.02777777777777778,144.0,0.9517202594048708,90
0.03888888888888889,102.85714285714286,0.9515515200323171,134
0.05,80.0,0.9302447754102441,258
0.061111111111111116,65.45454545454545,0.9339863142279667,410
0.07222222222222222,55.38461538461539,0.9459470350628255,578
0.08333333333333333,48.0,0.9302036811328604,702
0.09444444444444444,42.35294117647059,0.9370193338629398,914
0.10555555555555556,37.89473684210526,0.9403702238571768,1266
0.11666666666666667,34.285714285714285,0.878445802253412,1358
0.1277777777777778,31.304347826086953,0.8640133440353922,1754
0.1388888888888889,28.799999999999997,0.8286236809327316,1962
0.15000000000000002,26.666666666666664,0.8023371106770064,2378
0.16111111111111112,24.82758620689655,0.7704884499257841,2934
0.17222222222222225,23.2258064516129,0.5805318285404996,3002
0.18333333333333335,21.818181818181817,0.4659899018349678,3474
0.19444444444444445,20.57142857142857,0.21394330688388555,4094
0.20555555555555557,19.459459459459456,0.18070750750792708,4370
0.21666666666666667,18.46153846153846,0.05675318402710367,4794
0.2277777777777778,17.560975609756095,0.053432474279714114,5594
0.2388888888888889,16.744186046511626,0.011652596551574197,6198
0.25,16.0,0.00673582688631715,6218
0.2611111111111111,15.319148936170212,0.011311370826950821,7298
0.2722222222222222,14.69387755102041,-0.012399708052356646,7878
0.2833333333333333,14.117647058823529,-0.006740921888229646,8546
0.29444444444444445,13.584905660377357,0.003361501730526022,8922
0.3055555555555555,13.090909090909092,-0.011234330093377284,9890
0.31666666666666665,12.631578947368421,-0.008128296213523564,10710
0.3277777777777778,12.203389830508474,-0.010491748961245958,11162
0.3388888888888889,11.803278688524589,-0.013305737464203833,12122
0.35,11.428571428571429,-0.0014412017065860208,12966
0.3611111111111111,11.076923076923077,-0.001197557980202389,13682
0.37222222222222223,10.746268656716417,0.008419973481926574,14658
0.3833333333333333,10.434782608695652,0.001135971786255752,15290
0.39444444444444443,10.140845070422536,0.005023711674077358,16142
0.40555555555555556,9.863013698630137,0.004659761523957736,17442
0.4166666666666667,9.6,0.0015536215126252854,18554
0.42777777777777776,9.350649350649352,0.0031712667683218266,19158
0.4388888888888889,9.113924050632912,0.01964696566057149,20162
0.45,8.88888888888889,-0.007331149430114792,21666
0.4611111111111111,8.674698795180724,0.003247506331136633,21890
0.4722222222222222,8.470588235294118,0.01219692937490618,24206
0.48333333333333334,8.275862068965518,-0.009555643031622565,24426
0.49444444444444446,8.089887640449438,-0.007689810804455436,25946
