true_angle_deg,median_init_error_deg,median_final_error_deg,mean_final_error_deg,p90_final_error_deg,max_final_error_deg,success_le_2deg,success_le_5deg,mean_runtime_s,mean_input_wemd
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.772357858997566,187009344.0
10.0,10.673979759216309,10.673979759216309,10.673979759216309,10.673979759216309,10.673979759216309,0.0,0.0,17.16160269000102,605261888.0
20.0,5.77176570892334,5.77176570892334,5.77176570892334,5.77176570892334,5.77176570892334,0.0,0.0,17.16001471299751,664403520.0
30.0,22.985300064086914,22.985300064086914,22.985300064086914,22.985300064086914,22.985300064086914,0.0,0.0,17.014606353001,687584128.0
40.0,10.438956260681152,10.438956260681152,10.438956260681152,10.438956260681152,10.438956260681152,0.0,0.0,17.24557203600125,686166208.0
50.0,36.905029296875,36.905029296875,36.905029296875,36.905029296875,36.905029296875,0.0,0.0,17.05960869899718,705308224.0
60.0,7.34018611907959,7.34018611907959,7.34018611907959,7.34018611907959,7.34018611907959,0.0,0.0,17.181004128000495,727470080.0
70.0,24.269420623779297,24.269420623779297,24.269420623779297,24.269420623779297,24.269420623779297,0.0,0.0,18.31726709400027,744190464.0
80.0,7.542959690093994,7.542959690093994,7.542959690093994,7.542959690093994,7.542959690093994,0.0,0.0,17.48126444599984,741226112.0
90.0,8.39755916595459,8.39755916595459,8.39755916595459,8.39755916595459,8.39755916595459,0.0,0.0,16.97846488199866,728710528.0
100.0,6.612036228179932,6.612036228179932,6.612036228179932,6.612036228179932,6.612036228179932,0.0,0.0,17.452729874999932,720831936.0
110.0,7.6518096923828125,7.6518096923828125,7.6518096923828125,7.6518096923828125,7.6518096923828125,0.0,0.0,17.113391896000394,752145280.0
