true_angle_deg,median_init_error_deg,median_final_error_deg,mean_final_error_deg,p90_final_error_deg,max_final_error_deg,success_le_2deg,success_le_5deg,mean_runtime_s,mean_input_wemd
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.034976378000767,0.0057415952906012535
10.0,1.5761946439743042,1.5761946439743042,1.59054168065389,2.3797042608261108,2.5805816650390625,0.6666666666666666,1.0,16.47994815899195,55.814230600992836
20.0,0.9479131102561951,0.9479131102561951,1.0129219988981883,1.4637783885002136,1.5927447080612183,1.0,1.0,16.893630485671263,94.73218282063802
30.0,1.9090584516525269,1.9090584516525269,1.9369811216990154,2.3433482885360717,2.451920747756958,0.6666666666666666,1.0,16.6392924603327,132.89977264404297
40.0,2.71411395072937,2.71411395072937,2.5807413260142007,3.5069634914398193,3.7051758766174316,0.3333333333333333,1.0,16.641933749332868,175.05280558268228
50.0,2.0349011421203613,2.0349011421203613,1.985568602879842,2.4047120094299315,2.497164726257324,0.3333333333333333,1.0,16.45144035066672,179.12775675455728
60.0,1.6035206317901611,1.6035206317901611,1.3507914046446483,2.0295576572418215,2.1360669136047363,0.6666666666666666,1.0,16.7920019053369,191.6572062174479
70.0,1.0531342029571533,1.0531342029571533,1.3063870668411255,1.7052117824554445,1.868231177330017,1.0,1.0,17.012989495002937,209.10629272460938
80.0,1.2753353118896484,1.2753353118896484,1.4218453566233318,1.6796287536621093,1.7807021141052246,1.0,1.0,16.851961653665057,212.0800984700521
90.0,1.4049991369247437,1.4049991369247437,1.9695971707503002,3.568307948112488,4.109135150909424,0.6666666666666666,1.0,17.23334651599968,221.12493896484375
100.0,3.3408195972442627,3.3408195972442627,2.8086771170298257,3.4587999820709228,3.488295078277588,0.3333333333333333,1.0,16.534060428995872,220.16544596354166
110.0,1.47086763381958,1.47086763381958,1.5963619947433472,1.8312301635742188,1.9213207960128784,1.0,1.0,16.57835211433121,217.17062377929688
