shell_freq,resolution_A,fsc,n_voxels
0.005208333333333333,768.0,0.0,0
0.015625,256.0,0.9930325281319872,26
0.026041666666666664,153.60000000000002,0.9869676311442537,66
0.036458333333333336,109.71428571428571,0.984161263342318,158
0.046875,85.33333333333333,0.9818491668044116,234
0.057291666666666664,69.81818181818183,0.9711752728984087,410
0.06770833333333333,59.07692307692308,0.9502722912971386,476
0.07812499999999999,51.20000000000001,0.9533625383718659,738
0.08854166666666666,45.1764705882353,0.950966895852916,890
0.09895833333333333,40.42105263157895,0.9350653642278326,1152
0.10937499999999999,36.57142857142858,0.9011523603480269,1358
0.11979166666666666,33.391304347826086,0.7989992153053751,1626
0.13020833333333334,30.72,0.8024449452514297,1970
0.140625,28.444444444444443,0.8159407645868817,2366
0.15104166666666666,26.48275862068966,0.7970774935956322,2538
0.16145833333333334,24.774193548387096,0.7232862321244569,2994
0.171875,23.272727272727273,0.49736172928538114,3306
0.18229166666666666,21.942857142857143,0.35820608077112226,3926
0.19270833333333334,20.756756756756754,0.21888975567135202,4218
0.203125,19.692307692307693,0.12961548334841916,4826
0.21354166666666666,18.731707317073173,0.09136021019151709,5270
0.22395833333333334,17.86046511627907,0.0648400546469809,5650
0.234375,17.066666666666666,0.013591837298677453,6338
0.24479166666666666,16.340425531914896,0.024459392170744176,7014
0.2552083333333333,15.673469387755103,-0.0030924672622967752,7448
0.26562499999999994,15.058823529411768,0.010652823890259507,8330
0.27604166666666663,14.490566037735851,0.013009904679651463,8754
0.2864583333333333,13.963636363636365,-0.00033367636429696627,9716
0.29687499999999994,13.473684210526319,0.0008622645364901865,9858
0.30729166666666663,13.016949152542374,0.0046616887440343304,11242
0.3177083333333333,12.590163934426231,0.02262375034205619,11476
0.32812499999999994,12.190476190476193,0.00409430147827371,12770
0.33854166666666663,11.815384615384616,0.002351880133553111,13282
0.3489583333333333,11.46268656716418,0.005702954391312914,14080
0.35937499999999994,11.130434782608697,-0.0204857035133843,14894
0.36979166666666663,10.816901408450706,-0.01776455448362472,15882
0.3802083333333333,10.52054794520548,0.003089152956141754,16808
0.39062499999999994,10.240000000000002,-0.0009616515845472941,17550
0.40104166666666663,9.974025974025976,-0.0027620961140391352,18874
0.4114583333333333,9.721518987341772,0.008998958316693083,19440
0.42187499999999994,9.481481481481483,-0.015206512221576514,20382
0.43229166666666663,9.253012048192772,0.0067704444442692295,21898
0.4427083333333333,9.035294117647059,0.004573360355415389,22600
0.45312499999999994,8.827586206896553,0.0051080746850072556,24050
0.46354166666666663,8.629213483146069,0.008430204776071561,25206
0.4739583333333333,8.43956043956044,-0.00834488653503284,25832
0.48437499999999994,8.258064516129034,0.0028453990182189027,26810
0.49479166666666663,8.08421052631579,-0.008966843029430937,28494
