round,mean,std,min,max,l2_norm
0,7.517308442395175e-10,0.1786488890647888,-1.7454506158828735,1.6314339637756348,155.0821533203125
1,-2.2880966010774273e-09,0.17003664374351501,-1.1092455387115479,1.3914952278137207,147.60606384277344
2,-2.0856101290434026e-09,0.17173033952713013,-1.1258070468902588,1.2689754962921143,149.07627868652344
3,-2.0248640542064322e-09,0.17084528505802155,-1.2010347843170166,1.1349858045578003,148.30801391601562
4,-2.0856101290434026e-09,0.17166665196418762,-1.1145107746124268,1.1303513050079346,149.02105712890625
5,-2.105858820655726e-09,0.17187051475048065,-1.1822572946548462,1.1495246887207031,149.19796752929688
