round,subtomogram_id,file_name,runtime_s,r00,r01,r02,r10,r11,r12,r20,r21,r22
5,0,0.mrc,29.150472282010014,0.6565477252006531,0.2355593889951706,0.7165590524673462,0.30268964171409607,-0.9524182677268982,0.03575539588928223,0.6908864378929138,0.19341988861560822,-0.6966094374656677
5,1,1.mrc,29.121157446003053,0.12457426637411118,-0.9769935011863708,-0.17310379445552826,0.26039329171180725,0.20053929090499878,-0.9444465637207031,0.9574322700500488,0.07257866859436035,0.279384583234787
5,2,2.mrc,29.00429855499533,-0.88893723487854,-0.008438551798462868,0.45795127749443054,0.16579145193099976,-0.9379607439041138,0.3045371472835541,0.4269704520702362,0.34663882851600647,0.8351872563362122
5,3,3.mrc,28.951195028988877,-0.3029192388057709,0.2242528349161148,0.9262562394142151,0.5651848912239075,-0.7402860522270203,0.3640640676021576,0.7673369646072388,0.6337880492210388,0.09750258177518845
5,4,4.mrc,29.020998593012337,-0.19255653023719788,-0.814209520816803,-0.5477086901664734,0.20579348504543304,-0.5792487263679504,0.7887458205223083,-0.9594639539718628,0.03916327655315399,0.27909713983535767
5,5,5.mrc,28.83198059500137,0.6976754665374756,0.49878332018852234,-0.5142607688903809,0.6625481843948364,-0.7222943305969238,0.19829487800598145,-0.27254143357276917,-0.47906798124313354,-0.8343949913978577
5,6,6.mrc,29.316200612011016,0.6574264168739319,0.34606489539146423,-0.6693501472473145,0.14138880372047424,-0.929175615310669,-0.3415287733078003,-0.7401349544525146,0.12989141047000885,-0.659794270992279
5,7,7.mrc,29.230911551989266,-0.7052767276763916,0.1581753045320511,0.6910610198974609,-0.11972444504499435,0.9342153072357178,-0.33601757884025574,-0.6987494230270386,-0.3197222948074341,-0.6399428844451904
5,8,8.mrc,28.73855077101325,-0.5527688264846802,-0.37004536390304565,0.7466679811477661,0.5406473875045776,0.522589921951294,0.6592421531677246,-0.6341506242752075,0.7680925726890564,-0.0888073742389679
5,9,9.mrc,28.78567529299471,-0.9729292392730713,-0.2039690911769867,0.10865204781293869,0.02293574810028076,-0.5530452728271484,-0.8328354358673096,0.22996218502521515,-0.8077979683876038,0.5427520871162415
5,10,10.mrc,28.787014544999693,-0.442173570394516,-0.023807022720575333,-0.8966134786605835,-0.8968831896781921,0.02189336158335209,0.4417252540588379,0.009113720618188381,0.9994767904281616,-0.031032783910632133
5,11,11.mrc,28.899265026993817,-0.9569075703620911,0.002227518241852522,0.29038411378860474,0.18573805689811707,-0.7639821171760559,0.6179261803627014,0.2232246994972229,0.6452336311340332,0.7306464910507202
5,12,12.mrc,29.12921562998963,0.7424872517585754,-0.15450577437877655,-0.6517980098724365,0.6696010828018188,0.19825375080108643,0.7157722115516663,0.018630463629961014,-0.9678964018821716,0.2506581246852875
5,13,13.mrc,28.978667306000716,0.2801378071308136,-0.9579620957374573,0.06189877912402153,-0.843012809753418,-0.21465447545051575,0.4932067394256592,-0.45918649435043335,-0.1903473138809204,-0.8677071332931519
5,14,14.mrc,29.467431899000076,0.17302651703357697,-0.2866138517856598,-0.9422920346260071,-0.5373689532279968,0.7743065357208252,-0.33419156074523926,0.8254068493843079,0.564182460308075,-0.0200418122112751
5,15,15.mrc,28.733632332994603,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,16,16.mrc,28.811900674001663,-0.049097828567028046,0.9710650444030762,0.23371374607086182,0.608758270740509,-0.1564159095287323,0.7777836322784424,0.7918350696563721,0.18046267330646515,-0.5834642052650452
5,17,17.mrc,29.33148785000958,0.7163124680519104,0.18207897245883942,-0.6736049652099609,-0.6715840697288513,-0.08212674409151077,-0.7363626956939697,-0.1893971562385559,0.9798481464385986,0.06345292925834656
5,18,18.mrc,28.889264659999753,-0.32860127091407776,0.5206692218780518,0.7879878282546997,0.4682849049568176,0.8143627047538757,-0.34281569719314575,-0.8202014565467834,0.25635313987731934,-0.5114221572875977
5,19,19.mrc,28.813459306998993,0.768431544303894,0.24303123354911804,-0.591987133026123,-0.23575562238693237,-0.7524992227554321,-0.6149505972862244,-0.5949220657348633,0.6121117472648621,-0.5209481120109558
