round,subtomogram_id,file_name,runtime_s,r00,r01,r02,r10,r11,r12,r20,r21,r22
1,0,0.mrc,29.42586164700333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1,1.mrc,28.880090741004096,0.7265656590461731,0.22600345313549042,0.6488642692565918,0.3612946569919586,-0.9289261102676392,-0.0810089111328125,0.5844386219978333,0.2932894825935364,-0.7565796375274658
1,2,2.mrc,28.74641481001163,0.46675699949264526,-0.7431572675704956,0.47943219542503357,-0.7656742930412292,-0.06827856600284576,0.639594316482544,-0.44258421659469604,-0.6656240224838257,-0.6008858680725098
1,3,3.mrc,28.99407350299589,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,4,4.mrc,29.466087278997293,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,5,5.mrc,30.501182556006825,0.9343679547309875,-0.18753765523433685,-0.3029623329639435,0.21271227300167084,-0.38854461908340454,0.8965414762496948,-0.2858496606349945,-0.9021434187889099,-0.3231520652770996
1,6,6.mrc,29.60381312201207,-0.9059188365936279,-0.057332247495651245,-0.41955217719078064,-0.2559269070625305,0.8634882569313049,0.4346140921115875,0.3373609781265259,0.5010998249053955,-0.7969231605529785
1,7,7.mrc,29.48607789100788,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,8,8.mrc,29.493782046993147,0.26900607347488403,0.27449047565460205,-0.9231958985328674,-0.2279278039932251,0.9494444727897644,0.21587996184825897,0.9357802271842957,0.15234899520874023,0.317970335483551
1,9,9.mrc,29.136859113001265,-0.8284745812416077,0.0833163633942604,0.5537943840026855,0.349906861782074,0.849102258682251,0.3957151770591736,-0.4372585415840149,0.5216164588928223,-0.7326126098632812
1,10,10.mrc,29.647622220989433,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,11,11.mrc,29.218314774989267,0.2424747794866562,-0.9493839144706726,-0.19969026744365692,0.9022257924079895,0.14500080049037933,0.40615683794021606,-0.35664352774620056,-0.2786484956741333,0.8917176723480225
1,12,12.mrc,29.808818655001232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,13,13.mrc,30.16401198800304,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,14,14.mrc,29.640103715995792,0.5255012512207031,0.6917404532432556,0.49532172083854675,-0.4267910122871399,0.7179685831069946,-0.5498823523521423,-0.7360012531280518,0.07756499201059341,0.6725220084190369
1,15,15.mrc,29.230323266994674,0.36959925293922424,0.14429500699043274,0.9179190397262573,0.5728203058242798,0.7424423694610596,-0.34735602140426636,-0.7316237092018127,0.6541851758956909,0.19175104796886444
1,16,16.mrc,30.67704338299518,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,17,17.mrc,29.922118034999585,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,18,18.mrc,29.75148457598698,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,19,19.mrc,29.910712279001018,-0.6450546979904175,-0.3162526488304138,0.6956210732460022,0.7413728833198547,-0.038473114371299744,0.6699895858764648,-0.1851232796907425,0.9478945732116699,0.25927841663360596
1,20,20.mrc,31.091910935996566,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,21,21.mrc,30.12367354000162,0.7566969394683838,0.4568306803703308,0.4676702916622162,-0.5174129605293274,-0.018783707171678543,0.8555296659469604,0.3996167778968811,-0.8893553018569946,0.2221565544605255
1,22,22.mrc,29.909264225003426,0.5498899221420288,-0.05112699419260025,-0.8336708545684814,0.7363572716712952,-0.4414096474647522,0.5127723813056946,-0.3942068815231323,-0.8958479762077332,-0.20507897436618805
1,23,23.mrc,29.837250755008426,0.3172355890274048,0.21034149825572968,-0.9247258901596069,-0.4782498776912689,0.8775047063827515,0.03553243726491928,0.8189252614974976,0.4309779107570648,0.37897151708602905
1,24,24.mrc,30.092890982996323,-0.7709118723869324,-0.0865831971168518,0.631029486656189,0.5723314881324768,0.34060943126678467,0.745936930179596,-0.279520183801651,0.9362096786499023,-0.2130255550146103
1,25,25.mrc,29.042104962994927,-0.9098116159439087,0.05717671290040016,-0.4110639989376068,0.35489770770072937,0.6206532716751099,-0.699168860912323,0.21515204012393951,-0.7819976806640625,-0.5849694609642029
1,26,26.mrc,29.949767858997802,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,27,27.mrc,30.040542714006733,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,28,28.mrc,29.689479931010283,-0.9849601984024048,-0.007338589057326317,0.1726253628730774,-0.11078856885433197,-0.7398509383201599,-0.6635860800743103,0.13258682191371918,-0.6727308034896851,0.7279106974601746
1,29,29.mrc,29.40751011300017,-0.2448398470878601,-0.011294335126876831,-0.9694977402687073,-0.7969475388526917,0.5718433260917664,0.19460171461105347,0.5522028803825378,0.8202850818634033,-0.1490110158920288
1,30,30.mrc,29.517150904997834,-0.760922372341156,-0.17494535446166992,0.6248129606246948,-0.17698590457439423,-0.8704850077629089,-0.45927318930625916,0.6242380738258362,-0.46005433797836304,0.6314086318016052
1,31,31.mrc,29.446641490008915,-0.7744863033294678,-0.1727544069290161,-0.6085448861122131,0.12324552237987518,0.9023477435112,-0.4130122661590576,0.62046879529953,-0.394872784614563,-0.6775647401809692
1,32,32.mrc,29.32629990100395,0.268632709980011,0.6975048184394836,-0.6643218398094177,-0.514487624168396,0.6869533658027649,0.5132227540016174,0.814333438873291,0.20391695201396942,0.5433956980705261
1,33,33.mrc,29.587381094010198,0.8970526456832886,0.0633075088262558,-0.4373656213283539,-0.34474122524261475,-0.5189642906188965,-0.7821953892707825,-0.27649596333503723,0.8524484038352966,-0.44371357560157776
1,34,34.mrc,29.568362891004654,0.8633883595466614,0.33218610286712646,0.3797537684440613,0.08721726387739182,-0.8396073579788208,0.5361461043357849,0.4969443380832672,-0.4297812283039093,-0.7538795471191406
1,35,35.mrc,30.69278235800448,0.32744115591049194,0.28306275606155396,0.9014753103256226,-0.8149461150169373,0.5674300789833069,0.11783858388662338,-0.4781684875488281,-0.773239016532898,0.4164808690547943
1,36,36.mrc,30.722751203997177,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,37,37.mrc,30.35321569800726,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,38,38.mrc,30.437178968990338,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,39,39.mrc,30.198873376997653,0.5842200517654419,-0.0692063644528389,0.8086392283439636,-0.219946026802063,-0.9725728631019592,0.07566866278648376,0.7812238335609436,-0.22206412255764008,-0.5834182500839233
2,0,0.mrc,30.150791107007535,0.8809932470321655,0.3326801657676697,0.3364146053791046,0.29432323575019836,0.17135530710220337,-0.9402186870574951,-0.3704385459423065,0.9273409843444824,0.05304736644029617
2,1,1.mrc,30.009064037003554,0.7434784770011902,-0.05689551681280136,-0.6663352251052856,-0.6676152944564819,-0.12141290307044983,-0.734539806842804,-0.03910967335104942,0.9909701347351074,-0.12825219333171844
2,2,2.mrc,30.16368709199014,0.9588901400566101,0.11513438820838928,0.25937190651893616,0.027213377878069878,0.8724769949913025,-0.4878968894481659,-0.2824697196483612,0.4748978912830353,0.8334763646125793
2,3,3.mrc,30.588925980002386,0.862493634223938,0.3162386119365692,-0.3950921893119812,0.43533796072006226,-0.06555823236703873,0.8978769183158875,0.2580418288707733,-0.9464117884635925,-0.19421423971652985
2,4,4.mrc,30.6912829149951,0.8074839115142822,0.2628600001335144,0.5280855894088745,0.5595490336418152,-0.05790303274989128,-0.8267720937728882,-0.18674756586551666,0.96309494972229,-0.19383883476257324
2,5,5.mrc,30.619465345007484,0.9967511296272278,-0.031826701015233994,0.0739884003996849,0.005298222415149212,0.9425358176231384,0.3340631425380707,-0.08036883920431137,-0.33258581161499023,0.9396422505378723
2,6,6.mrc,30.997196611002437,-0.2409650981426239,-0.9199721217155457,-0.3091716766357422,0.6501818299293518,-0.38952574133872986,0.6523290872573853,-0.7205548882484436,-0.04382927343249321,0.692011296749115
2,7,7.mrc,30.774128481993102,0.47382795810699463,-0.7232086062431335,-0.5024504065513611,0.7964499592781067,0.10851410776376724,0.5948883891105652,-0.37570542097091675,-0.6820513606071472,0.6274164319038391
2,8,8.mrc,30.28139884599659,0.6096431612968445,0.3919649124145508,-0.6889837980270386,0.6639695167541504,0.2222719043493271,0.7139605283737183,0.432989239692688,-0.89272540807724,-0.12474621087312698
2,9,9.mrc,29.67359208400012,0.8474440574645996,-0.504683792591095,0.16472028195858002,0.2084512561559677,0.601682186126709,0.7710555195808411,-0.4882484972476959,-0.6190903186798096,0.615094006061554
